"ROCK NAME","SIO2(WT%)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"ADAKITE [12042]",69.06,14.74,28.07,3.3,12.69,2.19,0.75,1.78,0.25,1.16,0.2,0.52,0.07,0.41,0.06,49.5,120.5
"ADAKITE [25453]",65.9,59,111,12.3,44.9,6.76,1.69,6.83,0.86,3.59,0.65,2.16,0.25,1.63,0.25,32.30265,91.63025
"ADAKITE [13546]",65.78,21.329,42.373,4.702,18.59,3.96,0.975,2.922,0.438,2.117,0.433,1.013,0.122,0.868,0.112,64.97,32.9
"ADAKITE [14883]",68.79,17.1,41.7,4.41,2.914,18.754,0.82,2.03,0.18,0.93,0.1,0.36,0.02,0.33,0.02,29.5239,90.8089
"ADAKITE [21775]",65.53,22.1,46.5,4.83,18.6,3.63,0.85,2.96,0.44,2.56,0.51,1.54,0.24,1.58,0.25,47,85
"ADAKITE [5575]",67.9,25.8,55.8,6.55,24.9,4.25,1.048,2.95,0.292,1.52,0.26,0.7,0.091,0.57,0.091,49.25,-85.5
"ADAKITE [11959]",64.52,15.2,30,4.02,15.9,3.28,0.962,2.96,0.425,2.35,0.462,1.32,0.179,1.21,0.179,46.5,89.665
"ADAKITE [28901]",64.84,63.9,115,13.2,45.3,6.71,1.76,4.94,0.58,2.47,0.44,1.05,0.15,0.95,0.14,33.2,86.82
"ADAKITE [15962]",62.21,26.7,53.3,5.98,22.7,4.04,1.13,3.32,0.48,2.47,0.45,1.26,0.19,1.24,0.18,41.78,120.75
"ADAKITE [9146]",69.85,10.61,19.75,2.72,10.75,2.09,0.63,1.7,0.21,0.99,0.17,0.4,0.06,0.3,0.04,9.607,125.455
"ADAKITE [23535]",64.92,12.0653959632623,19.7648126028727,1.98429342728714,7.00101255818275,1.27920831919058,0.662410398364491,0.966512279457787,0.140996041840273,0.83164716275141,0.171109096669668,0.468885710634384,0.0727208480207389,0.496000946282761,0.0777348283801243,35.41231,133.47833
"ADAKITE [14883]",68,29.5,52.52,5.79,3.452,22.725,0.675,1.832,0.242,1.092,0.208,0.53,0.087,0.549,0.087,29.6939,91.7531
"ADAKITE [13550]",65.25,20.45,37.96,3.88,14.99,2.98,0.81,2.6,0.4,2.06,0.36,1.15,0.18,1.11,0.17,16.125,78.75
"ADAKITE [13546]",65.66,16.894,35.648,3.6,7.45,2.33,0.821,1.768,0.302,1.521,0.349,0.841,0.095,0.713,0.09,64.97,32.9
"ADAKITE [11959]",59.9,17.7,33.4,3.85,13.8,2.54,0.847,2.17,0.329,1.81,0.353,1.01,0.137,0.932,0.134,46.5,89.665
"ADAKITE [16629]",69.35,18.16,38.98,4.24,40.04,2.44,0.87,2.21,0.22,1,0.16,0.44,0.06,0.35,0.05,49.5,120.5
"ADAKITE [10558]",63.48,27.61,53.94,5.68,22.3,4.23,1.09,2.95,0.41,1.68,0.25,0.86,0.14,0.98,0.18,14.8423,75.2032
"ADAKITE [16629]",46.56,1.7,4.6,0.66,22.54827,6.92,0.51,1.61,0.27,1.8,0.39,1.16,0.17,1.13,0.16,49.5,120.5
"ADAKITE [10364]",66.52,36,69.3,7.62,26.5,4.14,1.19,2.66,0.3,1.3,0.22,0.59,0.09,0.56,0.08,29.6,94.6
"ADAKITE [15962]",60.11,27.1,49.8,5.79,21.5,3.68,1.07,2.91,0.36,2.22,0.44,1.22,0.17,1.02,0.15,41.78,120.75
"ADAKITE [12642]",75.87,29.14,51.97,5.07,18.39,3.02,0.72,2.29,0.29,1.11,0.17,0.54,0.08,0.47,0.07,15.14,76.77
"ADAKITE [23535]",64.64,16.6120149202577,31.9383540015007,3.3246008494596,12.2563320226948,2.09414514235738,0.675253572456052,1.51474030381091,0.218138671957131,1.20452895712412,0.231820531351031,0.644016232892322,0.0930803333723157,0.645784320687431,0.0985888504304208,35.41231,133.47833
"ADAKITE [13668]",66.48,6.06,13.99,1.54,6.4,1.31,0.43,1,0.15,0.69,0.12,0.33,0.06,0.3,0.05,37.8258,140.8514
"ADAKITE [16285]",65.26,22.9,43.9,5.25,20.1,3.58,1.02,3.08,0.38,1.97,0.36,1.07,0.15,0.97,0.14,41.1,95.5
"ANDESITE [20839]",59.4,24.2,45.44,5.61,21.79,3.97,1.15,3.09,0.36,1.73,0.31,0.76,0.1,0.66,0.1,8.829013,-82.736941
"ADAKITE [10558]",59.48,32.13,62.56,6.61,25.72,5.1,1.39,3.75,0.54,2.35,0.37,1.25,0.2,1.33,0.22,14.8423,75.2032
"DACITE [4349] / ADAKITE [28846]",68.18,9.95,17.8,2.4,9.67,1.74,0.63,1.43,0.2,0.94,0.17,0.46,0.08,0.48,0.08,8.58,-80.17
"ADAKITE [23535]",63.77,15.8632428096473,30.5879202326946,3.27753843652542,12.1587997405568,2.1079512250777,0.709689961473212,1.54758756048488,0.216958613518034,1.22799509831008,0.238154590139153,0.640004001046575,0.0940743067917287,0.619171232439362,0.0982955846563166,35.41231,133.47833
"BASALTIC-ANDESITE [15897] / BASALT [7640] / ADAKITE [28846] / ANDESITE [28817]",52.3,9.46,22.1,3.55,16.13,3.77,1.18,3.62,0.5,2.91,0.58,1.61,0.21,1.29,0.2,57.2,159.2
"ADAKITE [18473]",64.0233798318821,20.52,38.17,3.96,13.62,2.29,0.8,2.02,0.25,1.51,0.27,0.72,0.1,0.75,0.11,35.38,133.57
"ADAKITE [16629]",65.95,14.93,35.55,3.72,13.87,2.61,0.85,2.54,0.23,1.1,0.18,0.51,0.06,0.43,0.06,49.5,120.5
"ADAKITE [13546]",56.28,32.014,71.348,7.362,27.227,4.32,1.587,3.946,0.448,2.487,0.513,1.281,0.156,0.983,0.132,64.97,32.9
"ADAKITE [18473]",68.0024485691174,14.18,26.57,2.87,10.36,1.79,0.6657,1.668,0.2023,1.098,0.1952,0.5155,0.0787,0.5439,0.0836,35.38,133.57
"ADAKITE [9091]",65.42,40.34,75.72,8.42,31.35,5.15,1.76,4,0.5,3.11,0.58,1.54,0.23,1.59,0.23,32.32,118.3
"ADAKITE [18473]",58.8688904500053,48.58,86.81,10.39,36.51,5.122,1.629,4.429,0.5052,2.67,0.4788,1.256,0.1868,1.16,0.1805,35.38,133.57
"ADAKITE [5582]",65.9,15.3,32,3.36,12.451,2.329,0.937,2.09,0.262,1.3,0.23,0.55,0.091,0.53,0.219,48.8,-85
